Last updated:   09/10/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Countries and areas,ISO3,Population," Secured Vaccine, Before Adjustment (millions of courses) ", Adjustment (millions of courses) ,Secured Vaccine (millions of courses), Vaccine Needed to Reach 60% of Population (millions of courses) , Bilateral Deals (millions of courses) , Donations (millions of courses) , COVAX donations (millions of courses) , COVAX AMC/SFP (millions of courses) , EU Deal (millions of courses) , Other sources (millions of courses) , Domestic Supply (millions of courses) ," Secured Vaccine, Before Adjustment (% of population) ", Adjustment (% of population) , Secured Vaccine (% of population) , Vaccine Needed to Reach 60% of Population (% of population) , Bilateral Deals (% of population) , Donations (% of population) , COVAX donations (% of population) , COVAX AMC/SFP (% of population) , EU Deal (% of population) , Other sources (% of population) , Domestic Supply (% of population) 
Mexico,MEX,"128,932,753",129,-4,125, -   ,124,1, -   ,3, -   , -   ,,100,-3,97, -   ,96,1, -   ,3, -   , -   ,
Guinea-Bissau,GNB,"1,967,998",2, -   ,2, -   , -   ,0,0,1, -   ,1,,95, -   ,95, -   , -   ,0,19,30, -   ,46,
Bolivia,BOL,"11,673,030",24,-13,11, -   ,18,0,1,4, -   , -   ,,202,-107,95, -   ,157,2,13,30, -   , -   ,
Vietnam,VNM,"97,338,583",110,-20,90, -   ,76,2,3,29, -   , -   ,,113,-21,93, -   ,78,2,3,30, -   , -   ,
Ghana,GHA,"31,072,945",28, -   ,28, -   ,0,0,2,9, -   ,17,,91, -   ,91, -   ,0,0,6,30, -   ,54,
United Arab Emirates,ARE,"9,890,400",2,7,9, -   ,2, -   , -   ,0, -   , -   ,,17,72,90, -   ,16, -   , -   ,1, -   , -   ,
Suriname,SUR,"586,634",1, -   ,1, -   , -   ,0,0,0, -   ,0,,89, -   ,89, -   , -   ,64,7,7, -   ,11,
Uzbekistan,UZB,"33,469,199",30, -   ,30, -   ,18,0,2,10, -   , -   ,,89, -   ,89, -   ,54,0,5,30, -   , -   ,
Antigua and Barbuda,ATG,"97,928",0, -   ,0, -   , -   ,0, -   ,0, -   ,0,,88, -   ,88, -   , -   ,27, -   ,21, -   ,41,
Mongolia,MNG,"3,278,292",4,-1,3, -   ,2,0, -   ,1, -   ,1,,118,-31,87, -   ,46,11, -   ,30, -   ,31,
North Macedonia,MKD,"2,083,380",2,0,2, -   ,1,0, -   ,0, -   ,1,,84,3,86, -   ,41,2, -   ,7, -   ,34,
Brunei Darussalam,BRN,"437,483",0,0,0, -   ,0,0, -   ,0, -   , -   ,,75,12,86, -   ,57,6, -   ,12, -   , -   ,
Jamaica,JAM,"2,961,161",3, -   ,3, -   , -   ,0,0,0, -   ,2,,86, -   ,86, -   , -   ,8,5,6, -   ,67,
South Africa,ZAF,"59,308,690",27,24,51, -   ,22, -   ,3,3, -   , -   ,,45,40,86, -   ,36, -   ,5,4, -   , -   ,
Botswana,BWA,"2,351,625",2, -   ,2, -   ,0,0,0,0, -   ,1,,85, -   ,85, -   ,17,5,10,4, -   ,49,
Ecuador,ECU,"17,643,060",20,-6,15, -   ,13,1,0,1, -   ,6,,116,-31,85, -   ,71,6,2,6, -   ,31,
Tunisia,TUN,"11,818,618",14,-5,10, -   ,5,1,1,4, -   ,5,,123,-38,84, -   ,40,5,9,30, -   ,39,
Qatar,QAT,"2,881,060",0,2,2, -   , -   , -   , -   ,0, -   , -   ,,6,76,82, -   , -   , -   , -   ,6, -   , -   ,
Togo,TGO,"8,278,737",7, -   ,7, -   , -   ,0,0,2, -   ,4,,82, -   ,82, -   , -   ,1,2,30, -   ,48,
Mozambique,MOZ,"31,255,435",25, -   ,25, -   ,6,0,1,9, -   ,9,,81, -   ,81, -   ,18,1,3,30, -   ,30,
Tuvalu,TUV,"11,792",0,0,0, -   , -   , -   ,0,0, -   , -   ,,50,30,80, -   , -   , -   ,20,30, -   , -   ,
Costa Rica,CRI,"5,094,114",6,-2,4, -   ,5,0,0,0, -   , -   ,,109,-29,80, -   ,98,5,4,3, -   , -   ,
Rwanda,RWA,"12,952,209",10, -   ,10, -   , -   ,0,0,4, -   ,6,,80, -   ,80, -   , -   ,1,2,30, -   ,46,
Nauru,NRU,"10,834",0, -   ,0, -   , -   ,0, -   ,0, -   , -   ,,79, -   ,79, -   , -   ,46, -   ,33, -   , -   ,
Singapore,SGP,"5,850,343",0,5,5, -   ,0, -   , -   , -   , -   , -   ,,2,77,79, -   ,2, -   , -   , -   , -   , -   ,
Dominica,DMA,"71,991",0, -   ,0, -   , -   ,0, -   ,0, -   , -   ,,79, -   ,79, -   , -   ,49, -   ,30, -   , -   ,
Lao PDR,LAO,"7,275,556",6,0,6, -   , -   ,1,1,2, -   ,1,,80,-1,78, -   , -   ,18,18,30, -   ,14,
Uruguay,URY,"3,473,727",2,0,3, -   ,2,0, -   ,0, -   , -   ,,67,11,78, -   ,54,7, -   ,6, -   , -   ,
Kosovo,KOS,"1,807,197",1, -   ,1, -   ,1, -   ,0,1, -   , -   ,,77, -   ,77, -   ,33, -   ,14,30, -   , -   ,
China,CHN,"1,439,323,774",1008,87,1095, -   ,50, -   , -   ,2, -   , -   ,956,70,6,76, -   ,3, -   , -   ,0, -   , -   ,66
Nepal,NPL,"29,136,808",35,-13,22, -   ,14,3,2,9, -   ,7,,119,-43,76, -   ,46,10,8,30, -   ,24,
Cambodia,KHM,"16,718,971",12, -   ,12, -   ,4,2,2,5, -   , -   ,,75, -   ,75, -   ,26,10,9,30, -   , -   ,
Senegal,SEN,"16,743,930",12, -   ,12, -   ,0,0,1,5, -   ,6,,74, -   ,74, -   ,1,1,5,30, -   ,38,
Norway,NOR,"5,421,242", -   ,4,4, -   , -   , -   , -   , -   , -   , -   ,, -   ,73,73, -   , -   , -   , -   , -   , -   , -   ,
Mauritania,MRT,"4,649,660",3, -   ,3, -   , -   ,0,1,1, -   ,1,,71, -   ,71, -   , -   ,1,12,30, -   ,29,
India,IND,"1,380,004,385",979,4,982, -   ,828,1, -   ,150, -   , -   ,,71,0,71, -   ,60,0, -   ,11, -   , -   ,
Samoa,WSM,"198,410",0, -   ,0, -   , -   , -   ,0,0, -   , -   ,,71, -   ,71, -   , -   , -   ,41,30, -   , -   ,
San Marino,SMR,"33,938",0,0,0, -   ,0, -   , -   , -   , -   , -   ,,11,60,71, -   ,11, -   , -   , -   , -   , -   ,
Kazakhstan,KAZ,"18,776,707",13, -   ,13, -   ,3, -   , -   , -   , -   , -   ,10,70, -   ,70, -   ,16, -   , -   , -   , -   , -   ,54
Russian Federation,RUS,"145,934,460",102, -   ,102, -   , -   , -   , -   , -   , -   , -   ,102,70, -   ,70, -   , -   , -   , -   , -   , -   , -   ,70
Macao SAR,MAC,"649,342",0,0,0, -   ,0, -   , -   , -   , -   , -   ,0,62,8,70, -   ,8, -   , -   , -   , -   , -   ,55
Cuba,CUB,"11,326,616",8, -   ,8, -   , -   , -   , -   , -   , -   , -   ,8,70, -   ,70, -   , -   , -   , -   , -   , -   , -   ,70
Bangladesh,BGD,"164,689,383",106,8,115, -   ,17,3,5,49, -   ,33,,65,5,70, -   ,10,2,3,30, -   ,20,
Bermuda,BMU,"62,273",0,0,0, -   , -   , -   , -   ,0, -   , -   ,,21,48,69, -   , -   , -   , -   ,21, -   , -   ,
Eswatini,SWZ,"1,160,164",1, -   ,1, -   , -   ,0,0,0, -   ,0,,69, -   ,69, -   , -   ,1,27,30, -   ,11,
Bahrain,BHR,"1,701,583",0,1,1, -   ,0,0, -   ,0, -   , -   ,,15,53,68, -   ,9,3, -   ,3, -   , -   ,
Belize,BLZ,"397,621",0, -   ,0, -   , -   ,0, -   ,0, -   ,0,,67, -   ,67, -   , -   ,10, -   ,20, -   ,38,
Afghanistan,AFG,"38,928,341",26, -   ,26, -   , -   ,1,3,12, -   ,10,,67, -   ,67, -   , -   ,2,9,30, -   ,26,
Andorra,AND,"77,265",0,0,0, -   , -   , -   , -   ,0, -   , -   ,,19,48,67, -   , -   , -   , -   ,19, -   , -   ,
Monaco,MCO,"39,244",0,0,0, -   , -   , -   , -   ,0, -   , -   ,,1,65,67, -   , -   , -   , -   ,1, -   , -   ,
Guatemala,GTM,"17,915,567",12, -   ,12, -   ,8,2,1,1, -   , -   ,,66, -   ,66, -   ,45,14,3,5, -   , -   ,
Djibouti,DJI,"988,002",1, -   ,1, -   ,0,0,0,0, -   , -   ,,66, -   ,66, -   ,5,15,15,30, -   , -   ,
St. Kitts and Nevis,KNA,"53,192",0, -   ,0, -   , -   ,0, -   ,0, -   ,0,,65, -   ,65, -   , -   ,19, -   ,20, -   ,26,
"Congo, Rep.",COG,"5,518,093",3,1,4, -   , -   ,0,0,2, -   ,1,,54,11,65, -   , -   ,1,6,30, -   ,17,
Myanmar,MMR,"54,409,794",35, -   ,35, -   ,17,2, -   ,16, -   , -   ,,65, -   ,65, -   ,31,4, -   ,30, -   , -   ,
Saudi Arabia,SAU,"34,813,867",2,20,23, -   ,2, -   , -   ,1, -   , -   ,,7,58,65, -   ,4, -   , -   ,3, -   , -   ,
Kuwait,KWT,"4,270,563",2,1,3, -   ,2, -   , -   ,0, -   , -   ,,47,15,62, -   ,47, -   , -   ,0, -   , -   ,
Cote d'Ivoire,CIV,"26,378,275",16, -   ,16, -   ,0,0,0,8, -   ,8,,62, -   ,62, -   ,0,0,2,30, -   ,30,
Ukraine,UKR,"43,733,759",27, -   ,27, -   ,12,1,1,13, -   , -   ,,62, -   ,62, -   ,28,1,2,30, -   , -   ,
Jordan,JOR,"10,203,140",1,5,6, -   ,1,0, -   ,0, -   , -   ,,10,51,61, -   ,6,2, -   ,2, -   , -   ,
Kenya,KEN,"53,771,300",45,-12,33, -   ,12,1,3,16, -   ,13,,83,-22,61, -   ,22,1,5,30, -   ,25,
"Congo, Dem. Rep.",COD,"89,561,404",54, -   ,54, -   , -   ,0,0,27, -   ,27,,60, -   ,60, -   , -   ,0,0,30, -   ,30,
South Sudan,SSD,"11,193,729",7, -   ,7,0, -   ,0,0,3, -   ,3,,59, -   ,59,1, -   ,0,2,30, -   ,27,
Angola,AGO,"32,866,268",19, -   ,19,1,3,0,0,10, -   ,6,,58, -   ,58,2,9,1,1,30, -   ,17,
Zambia,ZMB,"18,383,956",10, -   ,10,1, -   , -   ,1,6, -   ,4,,57, -   ,57,3, -   , -   ,3,30, -   ,24,
Guinea,GIN,"13,132,792",7, -   ,7,0,0,0,0,4, -   ,3,,57, -   ,57,3,1,2,4,30, -   ,20,
West Bank and Gaza,PSE,"5,101,416",3, -   ,3,0,1,0,0,2, -   , -   ,,56, -   ,56,4,20,1,5,30, -   , -   ,
Solomon Islands,SLB,"686,878",0, -   ,0,0, -   ,0,0,0, -   , -   ,,55, -   ,55,5, -   ,8,17,30, -   , -   ,
Timor-Leste,TLS,"1,318,442",1, -   ,1,0, -   ,0,0,0, -   , -   ,,55, -   ,55,5, -   ,5,20,30, -   , -   ,
"Gambia, The",GMB,"2,416,664",1, -   ,1,0, -   , -   ,0,1, -   ,0,,54, -   ,54,6, -   , -   ,13,30, -   ,11,
"Iran, Islamic Rep.",IRN,"83,992,953",45, -   ,45,5,38,1,2,3, -   , -   ,,54, -   ,54,6,46,2,2,4, -   , -   ,
Kiribati,KIR,"119,446",0, -   ,0,0, -   , -   ,0,0, -   , -   ,,53, -   ,53,7, -   , -   ,23,30, -   , -   ,
Moldova,MDA,"4,033,963",2, -   ,2,0,0,0,0,1, -   ,0,,52, -   ,52,8,5,7,7,30, -   ,3,
Cameroon,CMR,"26,545,864",14, -   ,14,2, -   ,0,0,8, -   ,5,,52, -   ,52,8, -   ,0,1,30, -   ,20,
Nigeria,NGA,"206,139,587",106, -   ,106,18, -   ,1,3,62, -   ,40,,51, -   ,51,9, -   ,0,2,30, -   ,19,
Oman,OMN,"5,106,622",1,2,3,0,0,0, -   ,0, -   , -   ,,10,40,51,9,4,1, -   ,6, -   , -   ,
Azerbaijan,AZE,"10,139,175",3,2,5,1,3,0, -   ,0, -   , -   ,,31,20,50,10,26,1, -   ,4, -   , -   ,
Liberia,LBR,"5,057,677",3, -   ,3,0, -   ,0,0,2, -   ,1,,50, -   ,50,10, -   ,0,8,30, -   ,12,
Colombia,COL,"50,882,884",35,-10,25,5,28,4,0,3, -   , -   ,,70,-20,50,10,55,8,1,6, -   , -   ,
Tonga,TON,"105,697",0, -   ,0,0, -   , -   ,0,0, -   , -   ,,50, -   ,50,10, -   , -   ,20,30, -   , -   ,
Paraguay,PRY,"7,132,530",4,0,4,1,2,1,0,0, -   , -   ,,51,-1,50,10,24,17,6,4, -   , -   ,
Libya,LBY,"6,871,287",3, -   ,3,1,3,0,0,0, -   , -   ,,49, -   ,49,11,36,4,5,5, -   , -   ,
Montenegro,MNE,"628,062",0,0,0,0, -   ,0, -   ,0, -   , -   ,,10,39,49,11, -   ,3, -   ,7, -   , -   ,
Serbia,SRB,"8,737,370",4, -   ,4,1,4,0, -   ,0, -   , -   ,,49, -   ,49,11,45,1, -   ,2, -   , -   ,
Tajikistan,TJK,"9,537,642",5, -   ,5,1, -   , -   ,1,3, -   ,1,,49, -   ,49,11, -   , -   ,9,30, -   ,10,
Kyrgyz Republic,KGZ,"6,524,191",3, -   ,3,1,1,0,0,2, -   ,0,,49, -   ,49,11,10,5,2,30, -   ,2,
St. Vincent and the Grenadines,VCT,"110,947",0, -   ,0,0, -   ,0, -   ,0, -   , -   ,,48, -   ,48,12, -   ,18, -   ,30, -   , -   ,
Barbados,BRB,"287,371",0, -   ,0,0, -   ,0, -   ,0, -   , -   ,,48, -   ,48,12, -   ,28, -   ,20, -   , -   ,
Georgia,GEO,"3,989,175",1,1,2,0,1,0, -   ,0, -   , -   ,,24,24,48,12,14,8, -   ,2, -   , -   ,
