Last updated:   08/20/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Countries and areas,ISO3,Population,"Secured Vaccine, Before Adjustment (millions of courses)",Adjustment (millions of courses),Secured Vaccine (millions of courses),Vaccine Needed to Reach 60% of Population (millions of courses),Bilateral Deals (millions of courses),Donations (millions of courses),COVAX donations (millions of courses),COVAX AMC/SFP (millions of courses),EU Deal (millions of courses),Other sources (millions of courses),Domestic Supply (millions of courses),"Secured Vaccine, Before Adjustment (% of population)",Adjustment (% of population),Secured Vaccine (% of population),Vaccine Needed to Reach 60% of Population (% of population),Bilateral Deals (% of population),Donations (% of population),COVAX donations (% of population),COVAX AMC/SFP (% of population),EU Deal (% of population),Other sources (% of population),Domestic Supply (% of population)
Macao SAR,MAC,649342,0,0,0,0,0,0,0,0,0,0,0,62,8,70,0,8,0,0,0,0,0,55
Russian Federation,RUS,145934460,102,0,102,0,0,0,0,0,0,0,102,70,0,70,0,0,0,0,0,0,0,70
Cuba,CUB,11326616,8,0,8,0,0,0,0,0,0,0,8,70,0,70,0,0,0,0,0,0,0,70
China,CHN,1439323774,1008,0,1008,0,50,0,0,2,0,0,956,70,0,70,0,3,0,0,0,0,0,66
San Marino,SMR,33938,0,0,0,0,0,0,0,0,0,0,,11,59,70,0,11,0,0,0,0,0,
Norway,NOR,5421242,0,4,4,0,0,0,0,0,0,0,,0,70,70,0,0,0,0,0,0,0,
Mauritania,MRT,4649660,3,0,3,0,0,0,0,1,0,1,,69,0,69,0,0,1,9,30,0,29,
Eswatini,SWZ,1160164,1,0,1,0,0,0,0,0,0,0,,69,0,69,0,0,1,27,30,0,11,
Bermuda,BMU,62273,0,0,0,0,0,0,0,0,0,0,,21,46,68,0,0,0,0,21,0,0,
Belize,BLZ,397621,0,0,0,0,0,0,0,0,0,0,,67,0,67,0,0,10,0,20,0,38,
Bangladesh,BGD,164689383,103,8,111,0,17,3,2,49,0,33,,62,5,67,0,10,2,1,30,0,20,
Afghanistan,AFG,38928341,26,0,26,0,0,1,4,12,0,10,,67,0,67,0,0,2,9,30,0,26,
Djibouti,DJI,988002,1,0,1,0,0,0,0,0,0,0,,67,0,67,0,5,15,17,30,0,0,
Bahrain,BHR,1701583,0,1,1,0,0,0,0,0,0,0,,15,51,66,0,9,3,0,3,0,0,
Andorra,AND,77265,0,0,0,0,0,0,0,0,0,0,,19,47,66,0,0,0,0,19,0,0,
St. Kitts and Nevis,KNA,53192,0,0,0,0,0,0,0,0,0,0,,65,0,65,0,0,19,0,20,0,26,
Myanmar,MMR,54409794,35,0,35,0,17,2,0,16,0,0,,65,0,65,0,31,4,0,30,0,0,
Guatemala,GTM,17915567,12,0,12,0,8,2,0,1,0,0,,65,0,65,0,45,14,1,5,0,0,
Kuwait,KWT,4270563,2,1,3,0,2,0,0,0,0,0,,47,15,62,0,47,0,0,0,0,0,
Monaco,MCO,39244,0,0,0,0,0,0,0,0,0,0,,1,61,62,0,0,0,0,1,0,0,
Jordan,JOR,10203140,1,5,6,0,1,0,0,0,0,0,,10,51,61,0,6,2,0,2,0,0,
Cote d'Ivoire,CIV,26378275,16,0,16,0,0,0,0,8,0,8,,61,0,61,0,0,0,1,30,0,30,
Saudi Arabia,SAU,34813867,2,19,21,0,2,0,0,1,0,0,,7,54,61,0,4,0,0,3,0,0,
"Congo, Dem. Rep.",COD,89561404,54,0,54,0,0,0,0,27,0,27,,60,0,60,0,0,0,0,30,0,30,
"Congo, Rep.",COG,5518093,3,1,3,0,0,0,0,2,0,1,,49,11,60,0,0,1,1,30,0,17,
Ukraine,UKR,43733759,25,0,25,1,12,0,0,13,0,0,,58,0,58,2,28,0,0,30,0,0,
Samoa,WSM,198410,0,0,0,0,0,0,0,0,0,0,,58,0,58,2,0,0,28,30,0,0,
Kenya,KEN,53771300,43,-12,31,1,12,1,1,16,0,13,,80,-22,58,2,22,1,2,30,0,25,
South Sudan,SSD,11193729,6,0,6,0,0,0,0,3,0,3,,58,0,58,2,0,0,0,30,0,27,
Angola,AGO,32866268,19,0,19,1,3,0,0,10,0,6,,57,0,57,3,9,0,1,30,0,17,
Moldova,MDA,4033963,2,0,2,0,0,0,1,1,0,0,,57,0,57,3,5,6,13,30,0,3,
Zambia,ZMB,18383956,10,0,10,1,0,0,0,6,0,4,,57,0,57,3,0,0,3,30,0,24,
West Bank and Gaza,PSE,5101416,3,0,3,0,1,0,0,2,0,0,,51,5,56,4,20,1,0,30,0,0,
British Virgin Islands,VGB,30237,0,0,0,0,0,0,0,0,0,0,,20,36,55,5,0,0,0,20,0,0,
Guinea,GIN,13132792,7,0,7,1,0,0,0,4,0,3,,54,0,54,6,1,2,1,30,0,20,
"Gambia, The",GMB,2416664,1,0,1,0,0,0,0,1,0,0,,54,0,54,6,0,0,13,30,0,11,
Kiribati,KIR,119446,0,0,0,0,0,0,0,0,0,0,,53,0,53,7,0,0,23,30,0,0,
Cameroon,CMR,26545864,14,0,14,2,0,0,0,8,0,5,,52,0,52,8,0,0,1,30,0,20,
Azerbaijan,AZE,10139175,3,2,5,1,3,0,0,0,0,0,,31,20,50,10,26,1,0,4,0,0,
Nigeria,NGA,206139587,103,0,103,21,0,1,1,62,0,40,,50,0,50,10,0,0,0,30,0,19,
Tonga,TON,105697,0,0,0,0,0,0,0,0,0,0,,50,0,50,10,0,0,20,30,0,0,
Oman,OMN,5106622,1,2,3,1,0,0,0,0,0,0,,10,39,50,10,4,1,0,6,0,0,
Colombia,COL,50882884,35,-10,25,6,28,4,0,3,0,0,,69,-20,49,11,55,8,0,6,0,0,
Montenegro,MNE,628062,0,0,0,0,0,0,0,0,0,0,,10,39,49,11,0,3,0,7,0,0,
Liberia,LBR,5057677,2,0,2,1,0,0,0,2,0,1,,49,0,49,11,0,0,7,30,0,12,
Serbia,SRB,8737370,4,0,4,1,4,0,0,0,0,0,,49,0,49,11,45,1,0,2,0,0,
Kyrgyz Republic,KGZ,6524191,3,0,3,1,1,0,0,2,0,0,,49,0,49,11,10,5,2,30,0,2,
Georgia,GEO,3989175,1,1,2,0,1,0,0,0,0,0,,25,24,49,11,14,8,1,2,0,0,
St. Vincent and the Grenadines,VCT,110947,0,0,0,0,0,0,0,0,0,0,,48,0,48,12,0,18,0,30,0,0,
Barbados,BRB,287371,0,0,0,0,0,0,0,0,0,0,,48,0,48,12,0,28,0,20,0,0,
Paraguay,PRY,7132530,3,0,3,1,2,1,0,0,0,0,,46,1,47,13,24,14,4,4,0,0,
"Iran, Islamic Rep.",IRN,83992953,37,2,39,12,31,1,1,3,0,0,,44,2,46,14,37,1,2,4,0,0,
Madagascar,MDG,27691019,13,0,13,4,0,0,0,8,0,4,,46,0,46,14,0,0,2,30,0,14,
Libya,LBY,6871287,3,0,3,1,3,0,0,0,0,0,,46,0,46,14,36,2,3,5,0,0,
Pakistan,PAK,220892331,120,-20,100,32,45,2,1,66,0,7,,54,-9,45,15,20,1,0,30,0,3,
Sudan,SDN,43849269,20,0,20,7,0,0,1,13,0,5,,44,0,44,16,0,0,2,30,0,12,
Solomon Islands,SLB,686878,0,0,0,0,0,0,0,0,0,0,,44,0,44,16,0,8,6,30,0,0,
Malawi,MWI,19129955,8,0,8,3,0,0,1,6,0,2,,43,0,43,17,0,0,3,30,0,10,
Timor-Leste,TLS,1318442,1,0,1,0,0,0,0,0,0,0,,42,0,42,18,0,5,7,30,0,0,
Tajikistan,TJK,9537642,4,0,4,2,0,0,0,3,0,1,,41,0,41,19,0,0,1,30,0,10,
Burkina Faso,BFA,20903278,9,0,9,4,0,0,0,6,0,2,,41,0,41,19,0,0,2,30,0,9,
Gabon,GAB,2225728,1,0,1,0,0,0,0,0,0,1,,40,0,40,20,0,2,7,2,0,28,
Sierra Leone,SLE,7976985,3,0,3,2,0,0,0,2,0,1,,40,0,40,20,0,1,1,30,0,7,
Haiti,HTI,11402533,3,1,4,3,0,0,0,3,0,0,,30,7,37,23,0,0,0,30,0,0,
Central African Republic,CAF,4829764,2,0,2,1,0,0,0,1,0,0,,37,0,37,23,0,0,7,30,0,0,
St. Lucia,LCA,183629,0,0,0,0,0,0,0,0,0,0,,37,0,37,23,0,7,0,30,0,0,
Papua New Guinea,PNG,8947027,3,0,3,2,0,0,1,3,0,0,,37,0,37,23,0,0,6,30,0,0,
Uganda,UGA,45741000,26,-9,17,11,9,0,1,14,0,2,,56,-20,36,24,20,0,2,30,0,4,
Benin,BEN,12123198,4,0,4,3,0,0,0,4,0,0,,36,0,36,24,0,0,2,30,0,3,
